temporada,id_jugador,nombre_jugador,edad,nacionalidad,equipo,partidos_jugados,minutos,goles,tarjetas_amarillas,tarjetas_rojas
2022,18949,Oriol Romeu,31.0,Spain,Southampton FC,1.0,75.0,0.0,0.0,0.0
2022,37145,T. Malacia,23.0,Netherlands,Manchester United,22.0,1392.0,0.0,6.0,0.0
2022,175,E. Dier,28.0,England,Tottenham Hotspur,33.0,2817.0,2.0,3.0,0.0
2022,184,H. Kane,29.0,England,Tottenham Hotspur,38.0,3408.0,30.0,6.0,0.0
2022,295,A. Lallana,34.0,England,Brighton & Hove Albion,16.0,729.0,2.0,0.0,0.0
2022,665,M. Cornet,26.0,Côte d'Ivoire,West Ham United,14.0,234.0,0.0,0.0,0.0
2022,2999,J. Bednarek,26.0,Poland,Aston Villa,3.0,99.0,0.0,0.0,0.0
2022,15812,P. Onuachu,28.0,Nigeria,Southampton FC,11.0,404.0,0.0,0.0,0.0
2022,18873,R. Fraser,28.0,Scotland,Newcastle United,8.0,311.0,0.0,1.0,0.0
2022,19484,A. Armstrong,25.0,England,Southampton FC,30.0,1334.0,2.0,2.0,0.0
2022,19719,J. Bree,25.0,England,Southampton FC,5.0,368.0,0.0,1.0,0.0
2022,19733,F. Downes,23.0,England,West Ham United,21.0,754.0,0.0,2.0,0.0
2022,19825,J. Aribo,26.0,Nigeria,Southampton FC,21.0,1226.0,2.0,2.0,0.0
2022,25061,A. Bella-Kotchap,21.0,Germany,Southampton FC,24.0,1885.0,0.0,4.0,0.0
2022,41104,João Palhinha,27.0,Portugal,Fulham FC,35.0,3113.0,3.0,14.0,0.0
2022,137302,C. Archer,21.0,England,Aston Villa,6.0,43.0,0.0,0.0,0.0
2022,138804,M. Kovář,22.0,Czechia,Manchester United,0.0,0.0,0.0,0.0,0.0
2022,199837,K. Sulemana,20.0,Ghana,Southampton FC,18.0,967.0,2.0,1.0,0.0
2022,231029,N. Tella,23.0,Nigeria,Southampton FC,0.0,0.0,0.0,0.0,0.0
2022,284264,Juan Larios,18.0,Spain,Southampton FC,5.0,151.0,0.0,0.0,0.0
2022,334035,S. Amo-Ameyaw,16.0,England,Southampton FC,1.0,3.0,0.0,0.0,0.0
2022,171,K. Walker-Peters,25.0,England,Southampton FC,31.0,2653.0,1.0,4.0,0.0
2022,18742,M. Doherty,30.0,Republic of Ireland,Tottenham Hotspur,12.0,667.0,1.0,0.0,0.0
2022,18935,A. McCarthy,33.0,England,Southampton FC,6.0,540.0,0.0,0.0,0.0
2022,20355,A. Ramsdale,24.0,England,Arsenal FC,38.0,3420.0,0.0,1.0,0.0
2022,105971,G. Bazunu,20.0,Republic of Ireland,Southampton FC,32.0,2880.0,0.0,0.0,0.0
2022,1468,E. Nketiah,23.0,England,Arsenal FC,30.0,1069.0,4.0,3.0,0.0
2022,18823,B. Johnson,22.0,England,West Ham United,17.0,859.0,0.0,0.0,0.0
2022,19130,K. Phillips,27.0,England,Manchester City,12.0,290.0,0.0,1.0,0.0
2022,19182,A. Tuanzebe,25.0,Congo DR,Manchester United,0.0,0.0,0.0,0.0,0.0
