temporada,posicion,equipo,goles_favor_total,goles_contra_total,puntos_total,goles_favor_local,goles_contra_local,puntos_local,goles_favor_visitante,goles_contra_visitante,puntos_visitante
2015-2016,18,Newcastle,44.0,65.0,37,32.0,24.0,28,12.0,41.0,9
2015-2016,19,Norwich,39.0,67.0,34,26.0,30.0,23,13.0,37.0,11
2015-2016,20,Aston Villa,27.0,76.0,17,14.0,35.0,11,13.0,41.0,6
2016-2017,1,Chelsea,85.0,33.0,93,55.0,17.0,51,30.0,16.0,42
2016-2017,2,Tottenham,86.0,26.0,86,47.0,9.0,53,39.0,17.0,33
2016-2017,3,Man City,80.0,39.0,78,37.0,17.0,40,43.0,22.0,38
2016-2017,4,Liverpool,78.0,42.0,76,45.0,18.0,41,33.0,24.0,35
2016-2017,5,Arsenal,77.0,44.0,75,39.0,16.0,45,38.0,28.0,30
2016-2017,6,Man United,54.0,29.0,69,26.0,12.0,34,28.0,17.0,35
2016-2017,7,Everton,62.0,44.0,61,42.0,16.0,43,20.0,28.0,18
2016-2017,8,Bournemouth,55.0,67.0,46,35.0,29.0,31,20.0,38.0,15
2016-2017,9,Southampton,41.0,48.0,46,17.0,21.0,24,24.0,27.0,22
2016-2017,10,West Ham,47.0,64.0,45,19.0,31.0,25,28.0,33.0,20
2016-2017,11,West Brom,43.0,51.0,45,27.0,22.0,29,16.0,29.0,16
2016-2017,12,Stoke,41.0,56.0,44,24.0,24.0,27,17.0,32.0,17
2016-2017,13,Leicester,48.0,63.0,44,31.0,25.0,34,17.0,38.0,10
2016-2017,14,Crystal Palace,50.0,63.0,41,24.0,25.0,20,26.0,38.0,21
2016-2017,15,Swansea,45.0,70.0,41,27.0,34.0,27,18.0,36.0,14
2016-2017,16,Burnley,39.0,55.0,40,26.0,20.0,33,13.0,35.0,7
2016-2017,17,Watford,40.0,68.0,40,25.0,29.0,28,15.0,39.0,12
2016-2017,18,Hull,37.0,80.0,34,28.0,35.0,28,9.0,45.0,6
2016-2017,19,Middlesbrough,27.0,53.0,28,17.0,23.0,18,10.0,30.0,10
2016-2017,20,Sunderland,29.0,69.0,24,16.0,34.0,14,13.0,35.0,10
2017-2018,1,Man City,106.0,27.0,100,61.0,14.0,50,45.0,13.0,50
2017-2018,2,Man United,68.0,28.0,81,38.0,9.0,47,30.0,19.0,34
2017-2018,3,Tottenham,74.0,36.0,77,40.0,16.0,43,34.0,20.0,34
2017-2018,4,Liverpool,84.0,38.0,75,45.0,10.0,43,39.0,28.0,32
2017-2018,5,Chelsea,62.0,38.0,70,30.0,16.0,37,32.0,22.0,33
2017-2018,6,Arsenal,74.0,51.0,63,54.0,20.0,47,20.0,31.0,16
2017-2018,7,Burnley,36.0,39.0,54,16.0,17.0,26,20.0,22.0,28
2017-2018,8,Everton,44.0,58.0,49,28.0,22.0,34,16.0,36.0,15
2017-2018,9,Leicester,56.0,60.0,47,25.0,22.0,27,31.0,38.0,20
2017-2018,10,Bournemouth,45.0,61.0,44,26.0,30.0,26,19.0,31.0,18
2017-2018,11,Newcastle,39.0,47.0,44,21.0,17.0,28,18.0,30.0,16
2017-2018,12,Crystal Palace,45.0,55.0,44,29.0,27.0,26,16.0,28.0,18
2017-2018,13,West Ham,48.0,68.0,42,24.0,26.0,27,24.0,42.0,15
2017-2018,14,Watford,44.0,64.0,41,27.0,31.0,27,17.0,33.0,14
2017-2018,15,Brighton,34.0,54.0,40,24.0,25.0,29,10.0,29.0,11
2017-2018,16,Huddersfield,28.0,58.0,37,16.0,25.0,23,12.0,33.0,14
2017-2018,17,Southampton,37.0,56.0,36,20.0,26.0,19,17.0,30.0,17
2017-2018,18,Stoke,35.0,68.0,33,20.0,30.0,20,15.0,38.0,13
2017-2018,19,Swansea,28.0,56.0,33,17.0,24.0,21,11.0,32.0,12
2017-2018,20,West Brom,31.0,56.0,31,21.0,29.0,18,10.0,27.0,13
2018-2019,1,Man City,95.0,23.0,98,57.0,12.0,54,38.0,11.0,44
2018-2019,2,Liverpool,89.0,22.0,97,55.0,10.0,53,34.0,12.0,44
2018-2019,3,Chelsea,63.0,39.0,72,39.0,12.0,42,24.0,27.0,30
2018-2019,4,Tottenham,67.0,39.0,71,34.0,16.0,38,33.0,23.0,33
2018-2019,5,Arsenal,73.0,51.0,70,42.0,16.0,45,31.0,35.0,25
2018-2019,6,Man United,65.0,54.0,66,33.0,25.0,36,32.0,29.0,30
2018-2019,7,Wolves,47.0,46.0,57,28.0,21.0,34,19.0,25.0,23
2018-2019,8,Everton,54.0,46.0,54,30.0,21.0,34,24.0,25.0,20
2018-2019,9,West Ham,52.0,55.0,52,32.0,27.0,31,20.0,28.0,21
2018-2019,10,Leicester,51.0,48.0,52,24.0,20.0,27,27.0,28.0,25
2018-2019,11,Watford,52.0,59.0,50,26.0,28.0,27,26.0,31.0,23
2018-2019,12,Crystal Palace,51.0,53.0,49,19.0,23.0,20,32.0,30.0,29
2018-2019,13,Bournemouth,56.0,70.0,45,30.0,25.0,29,26.0,45.0,16
2018-2019,14,Newcastle,42.0,48.0,45,24.0,25.0,25,18.0,23.0,20
2018-2019,15,Burnley,45.0,68.0,40,24.0,32.0,23,21.0,36.0,17
2018-2019,16,Southampton,45.0,65.0,39,27.0,30.0,23,18.0,35.0,16
2018-2019,17,Brighton,35.0,60.0,36,19.0,28.0,23,16.0,32.0,13
2018-2019,18,Cardiff,34.0,69.0,34,21.0,38.0,20,13.0,31.0,14
2018-2019,19,Fulham,34.0,81.0,26,22.0,36.0,21,12.0,45.0,5
2018-2019,20,Huddersfield,22.0,76.0,16,10.0,31.0,9,12.0,45.0,7
2019-2020,1,Liverpool,85.0,33.0,99,52.0,16.0,55,33.0,17.0,44
2019-2020,2,Man City,102.0,35.0,81,57.0,13.0,47,45.0,22.0,34
2019-2020,3,Man United,66.0,36.0,66,40.0,17.0,37,26.0,19.0,29
2019-2020,4,Chelsea,69.0,54.0,66,30.0,16.0,36,39.0,38.0,30
2019-2020,5,Leicester,67.0,41.0,62,35.0,17.0,37,32.0,24.0,25
2019-2020,6,Wolves,51.0,40.0,59,27.0,19.0,31,24.0,21.0,28
2019-2020,7,Tottenham,61.0,47.0,59,36.0,17.0,39,25.0,30.0,20
2019-2020,8,Arsenal,56.0,48.0,56,36.0,24.0,36,20.0,24.0,20
2019-2020,9,Sheffield United,39.0,39.0,54,24.0,15.0,33,15.0,24.0,21
2019-2020,10,Burnley,43.0,50.0,54,24.0,23.0,28,19.0,27.0,26
2019-2020,11,Southampton,51.0,60.0,52,21.0,35.0,21,30.0,25.0,31
